Depart Date,Origin,Destination,Gate,Return Date,Value,Duration,Distance
2024-12-22,DXB,MOW,Kupi.com,2025-01-19,293,680,3709
2024-12-18,DXB,MOW,MEGO.travel,2025-01-11,294,680,3709
2024-09-18,DXB,MOW,Kupi.com,2024-10-01,294,665,3709
2025-01-28,DXB,MOW,MEGO.travel,2025-01-31,294,680,3709
2024-10-02,DXB,MOW,MEGO.travel,2024-10-03,294,680,3709
2025-02-04,DXB,MOW,S7 Airlines,2025-02-11,295,675,3642
2025-01-23,DXB,MOW,MEGO.travel,2025-01-30,295,680,3709
2025-01-31,DXB,MOW,Kupi.com,2025-02-06,295,685,3709
2024-10-20,DXB,MOW,Aviakassa,2024-10-23,295,2810,3642
2024-09-30,DXB,MOW,MEGO.travel,2024-10-08,295,680,3709
2024-12-27,DXB,MOW,Kupi.com,2025-01-09,296,680,3709
2024-12-18,DXB,MOW,Kupi.com,2025-01-15,296,680,3709
2025-01-17,DXB,MOW,Kupi.com,2025-02-04,297,680,3709
2025-01-17,DXB,MOW,Kupi.com,2025-02-06,297,680,3709
